actor_1_name,actor_2_name,actor_3_name,director_name,genres,plot_keywords,movie_title,comb
Liam Neeson,Jason Flemyng,Alexa Davalos,Louis Leterrier,Action|Adventure|Fantasy,famous line|hand to hand combat|kraken|rape|zeus,clash of the titans,Liam Neeson Jason Flemyng Alexa Davalos Louis Leterrier Action|Adventure|Fantasy famous line|hand to hand combat|kraken|rape|zeus
Ronny Cox,Rachel Ticotin,Marshall Bell,Paul Verhoeven,Action|Sci-Fi,ambiguous ending|false memory|implanted memory|memory|space colony,total recall,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action|Sci-Fi ambiguous ending|false memory|implanted memory|memory|space colony
Tony Curran,Vladimir Kulich,Clive Russell,John McTiernan,Action|Adventure|History,arab|battle|combat|viking|warrior,the 13th warrior,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action|Adventure|History arab|battle|combat|viking|warrior
Jeremy Renner,Scott Glenn,Stacy Keach,Tony Gilroy,Action|Adventure|Thriller,assassin|cia|drone|pill|wolf,the bourne legacy,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy Action|Adventure|Thriller assassin|cia|drone|pill|wolf
Michael Gough,Vivica A. Fox,John Glover,Joel Schumacher,Action,butler|critically bashed|cure|freeze|gotham,batman & robin,Michael Gough Vivica A. Fox John Glover Joel Schumacher Action butler|critically bashed|cure|freeze|gotham
Clint Howard,T.J. Thyne,Molly Shannon,Ron Howard,Comedy|Family|Fantasy,box office hit|christmas|materialism|public humiliation|snowflake,how the grinch stole christmas,Clint Howard T.J. Thyne Molly Shannon Ron Howard Comedy|Family|Fantasy box office hit|christmas|materialism|public humiliation|snowflake
Jake Gyllenhaal,Dennis Quaid,Sela Ward,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,climate|end of the world|global warming|natural disaster|weather,the day after tomorrow,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action|Adventure|Sci-Fi|Thriller climate|end of the world|global warming|natural disaster|weather
Tom Cruise,Dougray Scott,Richard Roxburgh,John Woo,Action|Adventure|Thriller,cure|mission|terrorist|thief|virus,mission: impossible ii,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action|Adventure|Thriller cure|mission|terrorist|thief|virus
Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Wolfgang Petersen,Action|Adventure|Drama|Thriller,death|fish|fishing|sea|storm,the perfect storm,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action|Adventure|Drama|Thriller death|fish|fishing|sea|storm
Chris Evans,Ioan Gruffudd,Andre Braugher,Tim Story,Action|Adventure|Sci-Fi|Thriller,fantastic four|space|strong female character|strong female lead|superheroine,fantastic 4: rise of the silver surfer,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action|Adventure|Sci-Fi|Thriller fantastic four|space|strong female character|strong female lead|superheroine
Suraj Sharma,Rafe Spall,Tabu,Ang Lee,Adventure|Drama|Fantasy,animal|faith|india|journey|tiger,life of pi,Suraj Sharma Rafe Spall Tabu Ang Lee Adventure|Drama|Fantasy animal|faith|india|journey|tiger
Nicolas Cage,Matt Long,Peter Fonda,Mark Steven Johnson,Action|Fantasy|Thriller,blackheart|devil|father|ghost|mephistopheles,ghost rider,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action|Fantasy|Thriller blackheart|devil|father|ghost|mephistopheles
Matt Damon,Riz Ahmed,Ato Essandoh,Paul Greengrass,Action|Thriller,black ops|chase|cia|cia agent|repeated scene,jason bourne,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action|Thriller black ops|chase|cia|cia agent|repeated scene
Demi Moore,Bernie Mac,Justin Theroux,McG,Action|Adventure|Comedy|Crime,fbi|murder|ring|witness protection|witness protection program,charlie's angels: full throttle,Demi Moore Bernie Mac Justin Theroux McG Action|Adventure|Comedy|Crime fbi|murder|ring|witness protection|witness protection program
Michael Fassbender,Charlize Theron,Sean Harris,Ridley Scott,Adventure|Mystery|Sci-Fi,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,prometheus,Michael Fassbender Charlize Theron Sean Harris Ridley Scott Adventure|Mystery|Sci-Fi cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation
Nathan Lane,Brad Garrett,Melanie Griffith,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,anthropomorphic mouse|falcon|marshmallow|second part|soccer,stuart little 2,Nathan Lane Brad Garrett Melanie Griffith Rob Minkoff Adventure|Animation|Comedy|Family|Fantasy anthropomorphic mouse|falcon|marshmallow|second part|soccer
Matt Damon,Sharlto Copley,Alice Braga,Neill Blomkamp,Action|Drama|Sci-Fi|Thriller,christ figure|class differences|messiah|saviour|social commentary,elysium,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp Action|Drama|Sci-Fi|Thriller christ figure|class differences|messiah|saviour|social commentary
Vin Diesel,Alexa Davalos,Christina Cox,David Twohy,Action|Adventure|Sci-Fi|Thriller,bounty hunter|escape|necromonger|planet|warrior,the chronicles of riddick,Vin Diesel Alexa Davalos Christina Cox David Twohy Action|Adventure|Sci-Fi|Thriller bounty hunter|escape|necromonger|planet|warrior
Gary Oldman,Abbie Cornish,Jennifer Ehle,José Padilha,Action|Crime|Sci-Fi|Thriller,law enforcement|police|robocop|robot|technology,robocop,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action|Crime|Sci-Fi|Thriller law enforcement|police|robocop|robot|technology
Scott Porter,Kick Gurry,Nicholas Elia,Lana Wachowski,Action|Family|Sport,based on anime|based on cartoon|gadget car|racer|speed,speed racer,Scott Porter Kick Gurry Nicholas Elia Lana Wachowski Action|Family|Sport based on anime|based on cartoon|gadget car|racer|speed
Shelley Conn,Domenick Lombardozzi,Teyonah Parris,James L. Brooks,Comedy|Drama|Romance,embarrassment|falling in love|love|love triangle|revelation,how do you know,Shelley Conn Domenick Lombardozzi Teyonah Parris James L. Brooks Comedy|Drama|Romance embarrassment|falling in love|love|love triangle|revelation
Tom Cruise,Marc Blucas,Jordi Mollà,James Mangold,Action|Comedy|Romance,chase|fbi|garage|spy|surveillance,knight and day,Tom Cruise Marc Blucas Jordi Mollà James Mangold Action|Comedy|Romance chase|fbi|garage|spy|surveillance
Morgan Freeman,Tom Cruise,Zoë Bell,Joseph Kosinski,Action|Adventure|Mystery|Sci-Fi,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,oblivion,Morgan Freeman Tom Cruise Zoë Bell Joseph Kosinski Action|Adventure|Mystery|Sci-Fi cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool
Natalie Portman,Christopher Lee,Hayden Christensen,George Lucas,Action|Adventure|Fantasy|Sci-Fi,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,star wars: episode iii - revenge of the sith,Natalie Portman Christopher Lee Hayden Christensen George Lucas Action|Adventure|Fantasy|Sci-Fi elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision
Natalie Portman,Christopher Lee,Hayden Christensen,George Lucas,Action|Adventure|Fantasy|Sci-Fi,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,star wars: episode ii - attack of the clones,Natalie Portman Christopher Lee Hayden Christensen George Lucas Action|Adventure|Fantasy|Sci-Fi martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film
Steve Buscemi,John Ratzenberger,James Coburn,Pete Docter,Adventure|Animation|Comedy|Family|Fantasy,friend|little girl|monster|rival|scream,"monsters, inc.",Steve Buscemi John Ratzenberger James Coburn Pete Docter Adventure|Animation|Comedy|Family|Fantasy friend|little girl|monster|rival|scream
Hugh Jackman,Tao Okamoto,Rila Fukushima,James Mangold,Action|Adventure|Sci-Fi|Thriller,healing power|marvel comics|mecha|regeneration|self healing,the wolverine,Hugh Jackman Tao Okamoto Rila Fukushima James Mangold Action|Adventure|Sci-Fi|Thriller healing power|marvel comics|mecha|regeneration|self healing
Natalie Portman,Liam Neeson,Ian McDiarmid,George Lucas,Action|Adventure|Fantasy|Sci-Fi,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,star wars: episode i - the phantom menace,Natalie Portman Liam Neeson Ian McDiarmid George Lucas Action|Adventure|Fantasy|Sci-Fi alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream
Ryan Reynolds,Emma Stone,Nicolas Cage,Kirk De Micco,Adventure|Animation|Comedy|Family|Fantasy,cave|caveman|journey|strict father|survival,the croods,Ryan Reynolds Emma Stone Nicolas Cage Kirk De Micco Adventure|Animation|Comedy|Family|Fantasy cave|caveman|journey|strict father|survival
Alain Delon,Santiago Segura,Vanessa Hessler,Frédéric Forestier,Adventure|Comedy|Family|Fantasy,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,asterix at the olympic games,Alain Delon Santiago Segura Vanessa Hessler Frédéric Forestier Adventure|Comedy|Family|Fantasy 1st century b.c.|lightsaber|local blockbuster|magical potion|potion
Nicolas Cage,Roger Willie,Noah Emmerich,John Woo,Action|Drama|War,code|duty|steel helmet|u.s. marine|u.s. soldier,windtalkers,Nicolas Cage Roger Willie Noah Emmerich John Woo Action|Drama|War code|duty|steel helmet|u.s. marine|u.s. soldier
Chris Hemsworth,Sam Claflin,Charlize Theron,Cedric Nicolas-Troyan,Action|Adventure|Drama|Fantasy,based on fairy tale|dark fantasy|fairy tale|second part|sequel,the huntsman: winter's war,Chris Hemsworth Sam Claflin Charlize Theron Cedric Nicolas-Troyan Action|Adventure|Drama|Fantasy based on fairy tale|dark fantasy|fairy tale|second part|sequel
Noel Fisher,Danny Woodburn,Jeremy Howard,Jonathan Liebesman,Action|Adventure|Comedy|Sci-Fi,18 wheeler|mutant|ninja|sewer|turtle,teenage mutant ninja turtles,Noel Fisher Danny Woodburn Jeremy Howard Jonathan Liebesman Action|Adventure|Comedy|Sci-Fi 18 wheeler|mutant|ninja|sewer|turtle
Phaldut Sharma,Basher Savage,Amy Warren,Alfonso Cuarón,Adventure|Drama|Sci-Fi|Thriller,box office hit|long take|sole survivor|space|space station,gravity,Phaldut Sharma Basher Savage Amy Warren Alfonso Cuarón Adventure|Drama|Sci-Fi|Thriller box office hit|long take|sole survivor|space|space station
Jamie Renée Smith,Grant Heslov,Tzi Ma,Roger Donaldson,Action|Adventure|Thriller,ash|escape|lava|mayor|volcano,dante's peak,Jamie Renée Smith Grant Heslov Tzi Ma Roger Donaldson Action|Adventure|Thriller ash|escape|lava|mayor|volcano
Stephen Amell,Noel Fisher,Brad Garrett,Dave Green,Action|Adventure|Comedy|Sci-Fi,based on comic book|brother brother relationship|rat|sequel|turtle,teenage mutant ninja turtles: out of the shadows,Stephen Amell Noel Fisher Brad Garrett Dave Green Action|Adventure|Comedy|Sci-Fi based on comic book|brother brother relationship|rat|sequel|turtle
Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Josh Trank,Action|Adventure|Sci-Fi,box office flop|critically bashed|portal|teleportation|troubled production,fantastic four,Tim Blake Nelson Reg E. Cathey Tim Heidecker Josh Trank Action|Adventure|Sci-Fi box office flop|critically bashed|portal|teleportation|troubled production
Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Action|Adventure|Comedy|Family|Fantasy,chaos|museum|museum of natural history|night watchman|watchman,night at the museum,Robin Williams Rami Malek Steve Coogan Shawn Levy Action|Adventure|Comedy|Family|Fantasy chaos|museum|museum of natural history|night watchman|watchman
Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Brad Peyton,Action|Adventure|Drama|Thriller,disaster movie|earthquake|journey|natural disaster|san andreas fault,san andreas,Dwayne Johnson Ioan Gruffudd Archie Panjabi Brad Peyton Action|Adventure|Drama|Thriller disaster movie|earthquake|journey|natural disaster|san andreas fault
Vincent Schiavelli,Colin Salmon,Joe Don Baker,Roger Spottiswoode,Action|Adventure|Thriller,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,tomorrow never dies,Vincent Schiavelli Colin Salmon Joe Don Baker Roger Spottiswoode Action|Adventure|Thriller ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three
Heath Ledger,Adam Baldwin,Tom Wilkinson,Roland Emmerich,Action|Drama|History|War,american revolution|british|french|hero|standoff,the patriot,Heath Ledger Adam Baldwin Tom Wilkinson Roland Emmerich Action|Drama|History|War american revolution|british|french|hero|standoff
Brad Pitt,Julia Roberts,Mini Anden,Steven Soderbergh,Crime|Thriller,father daughter relationship|heist|pretending to be pregnant|sequel|thief,ocean's twelve,Brad Pitt Julia Roberts Mini Anden Steven Soderbergh Crime|Thriller father daughter relationship|heist|pretending to be pregnant|sequel|thief
Brad Pitt,Angelina Jolie Pitt,Stephanie March,Doug Liman,Action|Comedy|Crime|Romance|Thriller,assassin|marriage|secret agent|suburb|target,mr. & mrs. smith,Brad Pitt Angelina Jolie Pitt Stephanie March Doug Liman Action|Comedy|Crime|Romance|Thriller assassin|marriage|secret agent|suburb|target
Kate Winslet,Theo James,Mekhi Phifer,Robert Schwentke,Adventure|Sci-Fi|Thriller,action heroine|falling from height|mind control|trainhopping|truth serum,insurgent,Kate Winslet Theo James Mekhi Phifer Robert Schwentke Adventure|Sci-Fi|Thriller action heroine|falling from height|mind control|trainhopping|truth serum
Leonardo DiCaprio,Adam Scott,Frances Conroy,Martin Scorsese,Biography|Drama,1920s|aviation|fight|spruce goose|test flight,the aviator,Leonardo DiCaprio Adam Scott Frances Conroy Martin Scorsese Biography|Drama 1920s|aviation|fight|spruce goose|test flight
James Corden,Catherine Tate,Olly Alexander,Rob Letterman,Adventure|Comedy|Family|Fantasy,bermuda triangle|box office hit|shipwrecked|travel|travel writer,gulliver's travels,James Corden Catherine Tate Olly Alexander Rob Letterman Adventure|Comedy|Family|Fantasy bermuda triangle|box office hit|shipwrecked|travel|travel writer
Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Michel Gondry,Action|Comedy|Crime|Sci-Fi|Thriller,heir|kung fu|party|playboy|superhero,the green hornet,Christoph Waltz Tom Wilkinson Chad L. Coleman Michel Gondry Action|Comedy|Crime|Sci-Fi|Thriller heir|kung fu|party|playboy|superhero
George Peppard,Dirk Benedict,Dwight Schultz,unknown,Action|Adventure|Crime,1980s|cult tv|famous opening theme|good versus evil|hero for hire,the a-team            ,George Peppard Dirk Benedict Dwight Schultz unknown Action|Adventure|Crime 1980s|cult tv|famous opening theme|good versus evil|hero for hire
Eva Green,Sullivan Stapleton,Peter Mensah,Noam Murro,Action|Drama|Fantasy|War,army|commander|female rear nudity|greek|navy,300: rise of an empire,Eva Green Sullivan Stapleton Peter Mensah Noam Murro Action|Drama|Fantasy|War army|commander|female rear nudity|greek|navy
Mahadeo Shivraj,Tim Gunn,Madison McKinley,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,blue|new york|new york city|no opening credits|smurf,the smurfs,Mahadeo Shivraj Tim Gunn Madison McKinley Raja Gosnell Adventure|Animation|Comedy|Family|Fantasy blue|new york|new york city|no opening credits|smurf
Steve Buscemi,Roseanne Barr,G.W. Bailey,Will Finn,Animation|Comedy|Family|Music|Western,cattle|cow|dairy farm|farm|rustler,home on the range,Steve Buscemi Roseanne Barr G.W. Bailey Will Finn Animation|Comedy|Family|Music|Western cattle|cow|dairy farm|farm|rustler
Naomi Watts,Theo James,Zoë Kravitz,Robert Schwentke,Action|Adventure|Mystery|Sci-Fi|Thriller,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,allegiant,Naomi Watts Theo James Zoë Kravitz Robert Schwentke Action|Adventure|Mystery|Sci-Fi|Thriller based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead
Hugh Jackman,Torey Michael Adkins,Olga Fonda,Shawn Levy,Action|Drama|Sci-Fi|Sport,arena|boxing|boxing movie|robot|robot battle,real steel,Hugh Jackman Torey Michael Adkins Olga Fonda Shawn Levy Action|Drama|Sci-Fi|Sport arena|boxing|boxing movie|robot|robot battle
Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,based on cartoon|box office hit|no opening credits|sequel|smurf,the smurfs 2,Jacob Tremblay Nancy O'Dell Vanessa Matsui Raja Gosnell Adventure|Animation|Comedy|Family|Fantasy based on cartoon|box office hit|no opening credits|sequel|smurf
Jason Patric,Temuera Morrison,Lois Chiles,Jan de Bont,Action|Crime|Romance|Thriller,collision course|computer|cruise|diamonds|ship run aground,speed 2: cruise control,Jason Patric Temuera Morrison Lois Chiles Jan de Bont Action|Crime|Romance|Thriller collision course|computer|cruise|diamonds|ship run aground
Harrison Ford,Moises Arias,Aramis Knight,Gavin Hood,Action|Sci-Fi,alien|future|manipulation|simulation|training,ender's game,Harrison Ford Moises Arias Aramis Knight Gavin Hood Action|Sci-Fi alien|future|manipulation|simulation|training
Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,Len Wiseman,Action|Adventure|Thriller,fbi|hacker|independence day|police|terrorist,live free or die hard,Bruce Willis Jonathan Sadowski Cyril Raffaelli Len Wiseman Action|Adventure|Thriller fbi|hacker|independence day|police|terrorist
Christopher Lee,Orlando Bloom,Billy Boyd,Peter Jackson,Action|Adventure|Drama|Fantasy,elf|hobbit|middle earth|quest|ring,the lord of the rings: the fellowship of the ring,Christopher Lee Orlando Bloom Billy Boyd Peter Jackson Action|Adventure|Drama|Fantasy elf|hobbit|middle earth|quest|ring
Jim Broadbent,Steve Coogan,Cécile De France,Frank Coraci,Action|Adventure|Comedy,19th century|around the world|inventor|martial arts|train,around the world in 80 days,Jim Broadbent Steve Coogan Cécile De France Frank Coraci Action|Adventure|Comedy 19th century|around the world|inventor|martial arts|train
Will Smith,Jada Pinkett Smith,Joe Morton,Michael Mann,Biography|Drama|Sport,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,ali,Will Smith Jada Pinkett Smith Joe Morton Michael Mann Biography|Drama|Sport african american protagonist|african americans|boxing gym|gym|rumble in the jungle
Sean Hayes,Kelly Preston,Spencer Breslin,Bo Welch,Adventure|Comedy|Family|Fantasy,based on cult comic book|cat|home alone|imagination|talking cat,the cat in the hat,Sean Hayes Kelly Preston Spencer Breslin Bo Welch Adventure|Comedy|Family|Fantasy based on cult comic book|cat|home alone|imagination|talking cat
Will Smith,Bruce Greenwood,Chi McBride,Alex Proyas,Action|Mystery|Sci-Fi|Thriller,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,"i, robot",Will Smith Bruce Greenwood Chi McBride Alex Proyas Action|Mystery|Sci-Fi|Thriller humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot
Liam Neeson,Orlando Bloom,Philip Glenister,Ridley Scott,Action|Adventure|Drama|History|War,12th century|crusader|jerusalem|knight|medieval times,kingdom of heaven,Liam Neeson Orlando Bloom Philip Glenister Ridley Scott Action|Adventure|Drama|History|War 12th century|crusader|jerusalem|knight|medieval times
Chazz Palminteri,Nathan Lane,Jeffrey Jones,Rob Minkoff,Adventure|Comedy|Family|Fantasy,box office hit|cat|first part|mouse|orphanage,stuart little,Chazz Palminteri Nathan Lane Jeffrey Jones Rob Minkoff Adventure|Comedy|Family|Fantasy box office hit|cat|first part|mouse|orphanage
Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,Ron Clements,Animation|Family|Fantasy|Musical|Romance,amphibian|dream|frog|frog prince|waitress,the princess and the frog,Oprah Winfrey Jenifer Lewis Anika Noni Rose Ron Clements Animation|Family|Fantasy|Musical|Romance amphibian|dream|frog|frog prince|waitress
Matt Damon,Donald Glover,Benedict Wong,Ridley Scott,Adventure|Drama|Sci-Fi,astronaut|international cooperation|left for dead|nasa|space habitat,the martian,Matt Damon Donald Glover Benedict Wong Ridley Scott Adventure|Drama|Sci-Fi astronaut|international cooperation|left for dead|nasa|space habitat
Mathew Buck,unknown,unknown,Christopher Barnard,Comedy,,"10,000 b.c.            ",Mathew Buck unknown unknown Christopher Barnard Comedy 
Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Michael Bay,Action|Adventure|Romance|Sci-Fi|Thriller,clone|environment|escape|island|lottery,the island,Scarlett Johansson Steve Buscemi Djimon Hounsou Michael Bay Action|Adventure|Romance|Sci-Fi|Thriller clone|environment|escape|island|lottery
Del Zamora,Warren Beatty,Garry Shandling,Peter Chelsom,Comedy|Romance,anniversary|architect|cellist|friend|hardware store,town & country,Del Zamora Warren Beatty Garry Shandling Peter Chelsom Comedy|Romance anniversary|architect|cellist|friend|hardware store
Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Dominic Sena,Action|Crime|Thriller,auto theft|brother|car|theft|thief,gone in sixty seconds,Nicolas Cage Angelina Jolie Pitt Robert Duvall Dominic Sena Action|Crime|Thriller auto theft|brother|car|theft|thief
Djimon Hounsou,Connie Nielsen,Oliver Reed,Ridley Scott,Action|Drama|Romance,battlefield|blood|combat|gladiator|roman empire,gladiator,Djimon Hounsou Connie Nielsen Oliver Reed Ridley Scott Action|Drama|Romance battlefield|blood|combat|gladiator|roman empire
Tom Cruise,Frank Grillo,Jessica Capshaw,Steven Spielberg,Action|Mystery|Sci-Fi|Thriller,future|murder|neo noir|washington d.c.|year 2054,minority report,Tom Cruise Frank Grillo Jessica Capshaw Steven Spielberg Action|Mystery|Sci-Fi|Thriller future|murder|neo noir|washington d.c.|year 2054
Daniel Radcliffe,Rupert Grint,Emma Watson,Chris Columbus,Adventure|Family|Fantasy|Mystery,bildungsroman|flying broom|invisibility cloak|monster|wizardry,harry potter and the chamber of secrets,Daniel Radcliffe Rupert Grint Emma Watson Chris Columbus Adventure|Family|Fantasy|Mystery bildungsroman|flying broom|invisibility cloak|monster|wizardry
Eva Green,Tobias Menzies,Ivana Milicevic,Martin Campbell,Action|Adventure|Thriller,casino|espionage|free running|james bond|terrorist,casino royale,Eva Green Tobias Menzies Ivana Milicevic Martin Campbell Action|Adventure|Thriller casino|espionage|free running|james bond|terrorist
Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,Tim Burton,Action|Adventure|Sci-Fi|Thriller,astronaut|cage|planet|wilhelm scream|year 2029,planet of the apes,Cary-Hiroyuki Tagawa Estella Warren Erick Avari Tim Burton Action|Adventure|Sci-Fi|Thriller astronaut|cage|planet|wilhelm scream|year 2029
Joe Morton,Jenette Goldstein,S. Epatha Merkerson,James Cameron,Action|Sci-Fi,future|liquid metal|multiple cameos|sexy woman|time travel,terminator 2: judgment day,Joe Morton Jenette Goldstein S. Epatha Merkerson James Cameron Action|Sci-Fi future|liquid metal|multiple cameos|sexy woman|time travel
Johnny Depp,Christian Bale,Stephen Graham,Michael Mann,Biography|Crime|Drama|History|Romance,1930s|bank|celebrity criminal|fbi|public enemy number one,public enemies,Johnny Depp Christian Bale Stephen Graham Michael Mann Biography|Crime|Drama|History|Romance 1930s|bank|celebrity criminal|fbi|public enemy number one
Denzel Washington,Ruby Dee,RZA,Ridley Scott,Biography|Crime|Drama,death|heroin|popcorn|smuggling|vietnam,american gangster,Denzel Washington Ruby Dee RZA Ridley Scott Biography|Crime|Drama death|heroin|popcorn|smuggling|vietnam
Jamie Lee Curtis,Tia Carrere,Tom Arnold,James Cameron,Action|Comedy|Thriller,espionage|secret agent|secret mission|spy|spy film,true lies,Jamie Lee Curtis Tia Carrere Tom Arnold James Cameron Action|Comedy|Thriller espionage|secret agent|secret mission|spy|spy film
Denzel Washington,Ramon Rodriguez,Michael Rispoli,Tony Scott,Action|Crime|Thriller,hijack|hostage|ransom|subway|train,the taking of pelham 1 2 3,Denzel Washington Ramon Rodriguez Michael Rispoli Tony Scott Action|Crime|Thriller hijack|hostage|ransom|subway|train
Robert De Niro,Blythe Danner,Teri Polo,Paul Weitz,Comedy|Romance,birthday|critically bashed|male nurse|nurse|suspicion,little fockers,Robert De Niro Blythe Danner Teri Polo Paul Weitz Comedy|Romance birthday|critically bashed|male nurse|nurse|suspicion
Dwayne Johnson,Will Ferrell,Derek Jeter,Adam McKay,Action|Comedy|Crime,capitalist|detective|investigation|new york city|police,the other guys,Dwayne Johnson Will Ferrell Derek Jeter Adam McKay Action|Comedy|Crime capitalist|detective|investigation|new york city|police
Vanessa Williams,James Coburn,Roma Maffia,Chuck Russell,Action|Drama|Mystery|Thriller,assassination attempt|corporate crime|rogue agent|witness|witness protection program,eraser,Vanessa Williams James Coburn Roma Maffia Chuck Russell Action|Drama|Mystery|Thriller assassination attempt|corporate crime|rogue agent|witness|witness protection program
Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,Quentin Tarantino,Drama|Western,dynamite|historically inaccurate|ku klux klan|n word|slavery,django unchained,Leonardo DiCaprio Christoph Waltz Ato Essandoh Quentin Tarantino Drama|Western dynamite|historically inaccurate|ku klux klan|n word|slavery
Demi Moore,Jason Alexander,Bill Fagerbakke,Gary Trousdale,Animation|Drama|Family|Musical|Romance,15th century|cathedral|gypsy|paris|victor hugo,the hunchback of notre dame,Demi Moore Jason Alexander Bill Fagerbakke Gary Trousdale Animation|Drama|Family|Musical|Romance 15th century|cathedral|gypsy|paris|victor hugo
Eartha Kitt,Wendie Malick,John Fiedler,Mark Dindal,Adventure|Animation|Comedy|Family|Fantasy,antidote|disney|emperor|first part|llama,the emperor's new groove,Eartha Kitt Wendie Malick John Fiedler Mark Dindal Adventure|Animation|Comedy|Family|Fantasy antidote|disney|emperor|first part|llama
Jason Statham,Sylvester Stallone,Bruce Willis,Simon West,Action|Adventure|Thriller,church|hostage|mine|plutonium|revenge,the expendables 2,Jason Statham Sylvester Stallone Bruce Willis Simon West Action|Adventure|Thriller church|hostage|mine|plutonium|revenge
Nicolas Cage,Armando Riesco,Annie Parisse,Jon Turteltaub,Action|Adventure|Comedy|Family|Mystery,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,national treasure,Nicolas Cage Armando Riesco Annie Parisse Jon Turteltaub Action|Adventure|Comedy|Family|Mystery declaration of independence|secret society|treasure|treasure hunt|treasure hunter
Djimon Hounsou,Ed Speleers,Gary Lewis,Stefen Fangmeier,Action|Adventure|Family|Fantasy,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,eragon,Djimon Hounsou Ed Speleers Gary Lewis Stefen Fangmeier Action|Adventure|Family|Fantasy dragon|dragon rider|fictional war|sword and fantasy|teenage hero
Catherine O'Hara,Ryan Corr,Max Records,Spike Jonze,Adventure|Drama|Family|Fantasy,based on children's book|creature|igloo|imagination|king,where the wild things are,Catherine O'Hara Ryan Corr Max Records Spike Jonze Adventure|Drama|Family|Fantasy based on children's book|creature|igloo|imagination|king
Hugh Jackman,Cara Delevingne,Nonso Anozie,Joe Wright,Adventure|Family|Fantasy,1940s|child hero|fantasy world|orphan|reference to peter pan,pan,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure|Family|Fantasy 1940s|child hero|fantasy world|orphan|reference to peter pan
Josh Hutcherson,Emma Kenney,Troy Evans,Chris Wedge,Adventure|Animation|Family|Fantasy,father daughter relationship|forest|miniature person|shrinking|sword and fantasy,epic,Josh Hutcherson Emma Kenney Troy Evans Chris Wedge Adventure|Animation|Family|Fantasy father daughter relationship|forest|miniature person|shrinking|sword and fantasy
Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Florian Henckel von Donnersmarck,Action|Romance|Thriller,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,the tourist,Johnny Depp Angelina Jolie Pitt Rufus Sewell Florian Henckel von Donnersmarck Action|Romance|Thriller police surveillance|surveillance van|tailing a suspect|tourist|venice italy
CCH Pounder,Mark Margolis,Udo Kier,Peter Hyams,Action|Fantasy|Horror|Mystery,atheist|ex cop|female masturbation|female nudity|lucifer,end of days,CCH Pounder Mark Margolis Udo Kier Peter Hyams Action|Fantasy|Horror|Mystery atheist|ex cop|female masturbation|female nudity|lucifer
